"","coefficients","replicate","pval","treatment_site"
"sitePW...67",-0.4691096685332,10,6.41859783422415e-76,"sitePW"
"treatment20C:siteCI5...68",0.177446982598212,10,7.56025939621611e-07,"treatment20C:siteCI5"
"treatment20C:siteDB...69",0.162949710589946,10,1.19010243430144e-05,"treatment20C:siteDB"
"treatment20C:sitePW...70",0.226884048670538,10,7.95798600829608e-10,"treatment20C:sitePW"
"treatment20C...71",-0.792195454675819,11,1.9742044783206e-176,"treatment20C"
"siteCI5...72",0.00647084529032529,11,0.783844394583726,"siteCI5"
"siteDB...73",-0.587019421617963,11,4.34312846628419e-132,"siteDB"
"sitePW...74",-0.385972033403017,11,1.65511466305088e-61,"sitePW"
"treatment20C:siteCI5...75",0.442600950050725,11,3.4617822753563e-33,"treatment20C:siteCI5"
"treatment20C:siteDB...76",0.522675911398417,11,1.47378232616773e-43,"treatment20C:siteDB"
"treatment20C:sitePW...77",0.504505900257861,11,6.50380732291749e-44,"treatment20C:sitePW"
"treatment20C...78",-0.339166313720745,12,1.02896853157647e-35,"treatment20C"
"siteCI5...79",0.212748262701171,12,3.01042208868153e-17,"siteCI5"
"siteDB...80",-0.370146534339344,12,1.67404835280698e-49,"siteDB"
"sitePW...81",-0.170950187394327,12,1.75826452058199e-12,"sitePW"
"treatment20C:siteCI5...82",-0.0873750430176764,12,0.0171022793639956,"treatment20C:siteCI5"
"treatment20C:siteDB...83",0.10338963273266,12,0.00453703037383788,"treatment20C:siteDB"
"treatment20C:sitePW...84",-0.341118482168118,12,1.38674002664906e-20,"treatment20C:sitePW"
"treatment20C...85",-0.650707682965276,13,1.48954657084729e-120,"treatment20C"
"siteCI5...86",-0.00851015627871791,13,0.7281731935678,"siteCI5"
"siteDB...87",-0.664547823828472,13,8.32723580754964e-155,"siteDB"
"sitePW...88",-0.368088504212829,13,1.04258018802675e-53,"sitePW"
"treatment20C:siteCI5...89",0.387732797306621,13,3.59501815830947e-26,"treatment20C:siteCI5"
"treatment20C:siteDB...90",0.514568436116192,13,2.86092591873733e-43,"treatment20C:siteDB"
"treatment20C:sitePW...91",0.299552886214893,13,1.32393071475863e-16,"treatment20C:sitePW"
"treatment20C...92",-0.597431996961424,14,4.88308875447886e-101,"treatment20C"
"siteCI5...93",0.133217894072103,14,1.11520273814304e-07,"siteCI5"
"siteDB...94",-0.618359504064624,14,1.67468799805079e-123,"siteDB"
"sitePW...95",-0.382836788963815,14,1.26228980794041e-52,"sitePW"
"treatment20C:siteCI5...96",0.277233354249858,14,1.25285305774513e-13,"treatment20C:siteCI5"
"treatment20C:siteDB...97",0.453815009847305,14,4.44654086995064e-32,"treatment20C:siteDB"
"treatment20C:sitePW...98",0.237330323862458,14,2.53386811344235e-10,"treatment20C:sitePW"
"treatment20C...99",-0.509247909347596,15,3.01802128732518e-72,"treatment20C"
"siteCI5...100",0.154893317939406,15,9.75588608093884e-10,"siteCI5"
"siteDB...101",-0.503295578770625,15,1.05787754607983e-84,"siteDB"
"sitePW...102",-0.185083370946795,15,2.45000683155364e-14,"sitePW"
"treatment20C:siteCI5...103",-0.00372741757204221,15,0.92172145192721,"treatment20C:siteCI5"
"treatment20C:siteDB...104",0.41341231049601,15,3.65960511554603e-28,"treatment20C:siteDB"
"treatment20C:sitePW...105",-0.0724733077583205,15,0.0492668333921763,"treatment20C:sitePW"
"treatment20C...106",-0.468813958706677,16,2.11136182482543e-65,"treatment20C"
"siteCI5...107",0.32170667540225,16,2.20298802259956e-39,"siteCI5"
"siteDB...108",-0.315992355772953,16,2.02735303187258e-38,"siteDB"
"sitePW...109",-0.351946055610403,16,6.29982453779633e-45,"sitePW"
"treatment20C:siteCI5...110",-0.195068854445385,16,1.1827233270121e-07,"treatment20C:siteCI5"
"treatment20C:siteDB...111",0.0802506651460011,16,0.0287130737660924,"treatment20C:siteDB"
"treatment20C:sitePW...112",0.0843725085225831,16,0.0225677654342388,"treatment20C:sitePW"
