"","term","estimate","std.error","statistic","p.value"
"1","Treatment20C",-0.533757343626424,0.0229533432697888,-23.254013036478,1.29557553980763e-119
"2","LocationCI5",-0.0304663300934952,0.022035038327096,-1.3826311368849,0.166777996709086
"3","LocationDB",-0.757512342869554,0.0240858165830943,-31.4505568144718,4.12467294240495e-217
"4","LocationPW",-0.511347588767802,0.02287882129631,-22.3502593138517,1.20044618777354e-110
"5","Treatment20C:LocationCI5",0.0134609461485157,0.0331590880567543,0.405950432818788,0.684779020835191
"6","Treatment20C:LocationDB",-0.00619490605689589,0.037219274244816,-0.166443494200017,0.867807947866556
"7","Treatment20C:LocationPW",0.0588608656804582,0.0349823660696539,1.68258675137238,0.0924551182015741
